,latitude,longitude,price,bedrooms,bathrooms,homeType,homeStatus
176,21.374601,-157.72128,1799000.0,5.0,4.0,SINGLE_FAMILY,FOR_SALE
177,21.46256,-158.01657,1399000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
178,21.335897,-158.02039,860000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
179,21.405703,-157.99356,1599000.0,13.0,7.0,SINGLE_FAMILY,FOR_SALE
180,21.281364,-157.8163,590000.0,2.0,2.0,CONDO,FOR_SALE
181,21.643286,-158.0394,1825000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
182,21.329824,-158.0257,875000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
183,21.318033,-157.85336,1530000.0,,,MULTI_FAMILY,FOR_SALE
184,21.30548,-157.83398,240000.0,0.0,1.0,CONDO,FOR_SALE
185,21.33948,-158.01813,700000.0,3.0,2.0,CONDO,FOR_SALE
186,21.326187,-157.87526,365000.0,2.0,1.0,CONDO,FOR_SALE
187,21.39591,-157.74231,725000.0,2.0,2.0,CONDO,FOR_SALE
188,21.412275,-157.74356,6250000.0,4.0,5.0,SINGLE_FAMILY,FOR_SALE
189,21.2711,-157.70699,2785000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
190,21.406572,-158.16817,700000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
191,21.315817,-157.80513,1690000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
192,21.416924,-157.8111,650000.0,2.0,1.0,TOWNHOUSE,FOR_SALE
193,21.274864,-157.70848,5199999.0,6.0,9.0,SINGLE_FAMILY,FOR_SALE
194,21.346107,-157.90512,438000.0,1.0,1.0,CONDO,FOR_SALE
195,21.305573,-157.84076,420000.0,1.0,1.0,CONDO,FOR_SALE
196,21.38513,-157.7347,1625000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
197,21.41641,-157.79388,648000.0,,,LOT,FOR_SALE
198,21.361774,-158.08922,519000.0,2.0,2.0,CONDO,FOR_SALE
199,21.366484,-158.08298,450000.0,2.0,1.0,TOWNHOUSE,FOR_SALE
200,21.308619,-158.02718,1455000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
201,21.28599,-157.82373,840000.0,2.0,2.0,CONDO,FOR_SALE
202,21.331465,-158.01521,800000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
203,21.47503,-158.00542,1249000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
204,21.370005,-157.76804,1725000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
205,21.45777,-158.00986,1145000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
206,21.345875,-158.08907,975000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
